source_workbook,source_sheet,source_row,structure_version,category,course_title_raw,course_title,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,University Core,Communication skills,Communication skills,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Foundation,Human Values in work and Life,Human Values in work and Life,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Program Core,Computational Thinking,Computational Thinking,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Program Honors,Foundations to Data Science,Foundations to Data Science,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Honors Track 1,Advanced Visualization and Storytelling,Advanced Visualization and Storytelling,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Honors Track 2,Big Data Framework,Big Data Framework,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,3,2022,Internship/Capstone,Summe Training/Internship,Summe Training/Internship,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,University Core,Problem Solving with Design Thinking,Problem Solving with Design Thinking,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Foundation,Sustainable Cities and Communities,Sustainable Cities and Communities,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Program Core,Data Structures,Data Structures,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Program Honors,Exploratory Data Analysis,Exploratory Data Analysis,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Honors Track 1,Natural Language Processing,Natural Language Processing,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Honors Track 2,Software Architecture and Deployments,Software Architecture and Deployments,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,4,2022,Internship/Capstone,Interdisciplinary Project,Interdisciplinary Project,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,University Core,Introduction to Writing,Introduction to Writing,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Foundation,Materials for Smart devices,Materials for Smart devices,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Program Core,Theoretical Computer Science,Theoretical Computer Science,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Program Honors,Human Centric AI,Human Centric AI,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Honors Track 1,Multi Modal Learning,Multi Modal Learning,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Honors Track 2,Cloud Computing,Cloud Computing,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,5,2022,Internship/Capstone,Capstone Project/Industrial Internship,Capstone Project/Industrial Internship,12
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,University Core,Socio Cultural Perspectives on Indian Life-SPIL,Socio Cultural Perspectives on Indian Life-SPIL,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Foundation,Sustainable Smart Materials,Sustainable Smart Materials,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Program Core,Analysis of Algorithms,Analysis of Algorithms,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Program Honors,Machine Learning,Machine Learning,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Honors Track 1,Reinforcement Learning,Reinforcement Learning,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,6,2022,Honors Track 2,Cognitive Computing,Cognitive Computing,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,7,2022,University Core,Leadership and Teamwork Skills,Leadership and Teamwork Skills,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,7,2022,Foundation,Introduction to Psychology/Introduction to Economics,Introduction to Psychology/Introduction to Economics,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,7,2022,Program Core,Digital Design and Computer Organization,Digital Design and Computer Organization,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,7,2022,Program Honors,Optimization Techniques for Data Science,Optimization Techniques for Data Science,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,8,2022,University Core,Learning to Learn,Learning to Learn,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,8,2022,Foundation,Design Workshop,Design Workshop,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,8,2022,Program Core,Object Oriented Programming,Object Oriented Programming,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,8,2022,Program Honors,Deep Learning,Deep Learning,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,9,2022,University Core,Critical Thinking,Critical Thinking,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,9,2022,Foundation,Calculus,Calculus,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,9,2022,Program Core,Microprocessors and Computer Architecture,Microprocessors and Computer Architecture,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,10,2022,University Core,Introduction to Epistemology,Introduction to Epistemology,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,10,2022,Foundation,Probability Theory,Probability Theory,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,10,2022,Program Core,Operating Systems,Operating Systems,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,11,2022,University Core,Community Engagement and Service Experience,Community Engagement and Service Experience,1
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,11,2022,Foundation,Linear Algebra,Linear Algebra,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,11,2022,Program Core,Networks,Networks,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,12,2022,Foundation,Visualizing Data for Story Telling,Visualizing Data for Story Telling,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,12,2022,Program Core,Databases Management,Databases Management,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,13,2022,Foundation,Language,Language,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,13,2022,Program Core,Statistics with R,Statistics with R,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,14,2022,Foundation,Foundation Seminar,Foundation Seminar,1
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,14,2022,Program Core,Artificial Intelligence,Artificial Intelligence,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2022,15,2022,Program Core,Internet of Things,Internet of Things,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,University Core,Communication skills,Communication skills,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Foundation,Human Values in work and Life,Human Values in work and Life,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Program Core,Research Methodology,Research Methodology,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Program Honors,Foundations to Data Science,Foundations to Data Science,3
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Honors Track 1,Advanced Topics in Deep Learning,Advanced Topics in Deep Learning,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Honors Track 2,Big Data Framework,Big Data Framework,4
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,3,2023,Internship/Capstone,Summe Training/Internship,Summe Training/Internship,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,4,2023,University Core,Problem Solving with Design Thinking,Problem Solving with Design Thinking,2
Semester_Spread_Structures_Sept_2026(3).xlsx,Struct_2023,4,2023,Foundation,Sustainable Cities and Communities,Sustainable Cities and Communities,3
